,Age_Median,Matches Played_Median,Starts_Median,Goals_Median,Assists_Median,Yellow Cards_Median,Red Cards_Median,Expected Goals (xG)_Median,Expected Assist Goals (xAG)_Median,Progressive Carries (PrgC)_Median,Progressive Passes (PrgP)_Median,Progressive Passes Received (PrgR)_Median,Goals per 90_Median,Assists per 90_Median,xG per 90_Median,xAG per 90_Median,Shots on Target Percentage (SoT%)_Median,Shots on Target per 90 (SoT/90)_Median,Goals per Shot (G/Sh)_Median,Average Shot Distance (Dist)_Median,Passes Completed (Cmp)_Median,Pass Completion Percentage (Cmp%)_Median,Total Passing Distance (TotDist)_Median,Short Pass Completion Percentage_Median,Medium Pass Completion Percentage_Median,Long Pass Completion Percentage_Median,Key Passes (KP)_Median,Passes into Final Third (1/3)_Median,Passes into Penalty Area (PPA)_Median,Crosses into Penalty Area (CrsPA)_Median,Shot-Creating Actions (SCA)_Median,SCA per 90_Median,Goal-Creating Actions (GCA)_Median,GCA per 90_Median,Tackles (Tkl)_Median,Tackles Won (TklW)_Median,Challenges (Tkl)_Median,Challenges Lost (TklD)_Median,Blocks_Median,Blocked Shots (Sh)_Median,Blocked Passes (Pass)_Median,Interceptions (Int)_Median,Touches_Median,Touches in Defensive Penalty Area_Median,Touches in Defensive Third_Median,Touches in Middle Third_Median,Touches in Attacking Third_Median,Touches in Attacking Penalty Area_Median,Take-Ons (Att)_Median,Take-On Success Percentage (Succ%)_Median,Take-On Tackled Percentage (Tkl%)_Median,Carries_Median,Progressive Carrying Distance (TotDist)_Median,Carries into Final Third (1/3)_Median,Carries into Penalty Area (CPA)_Median,Miscontrols (Mis)_Median,Dispossessed (Dis)_Median,Passes Received (Rec)_Median,Fouls Committed (Fls)_Median,Fouls Drawn (Fld)_Median,Offsides (Off)_Median,Crosses (Crs)_Median,Ball Recoveries (Recov)_Median,Aerials Won (Won)_Median,Aerials Lost (Lost)_Median,Aerials Won Percentage (Won%)_Median,Age_Mean,Age_Std,Matches Played_Mean,Matches Played_Std,Starts_Mean,Starts_Std,Goals_Mean,Goals_Std,Assists_Mean,Assists_Std,Yellow Cards_Mean,Yellow Cards_Std,Red Cards_Mean,Red Cards_Std,Expected Goals (xG)_Mean,Expected Goals (xG)_Std,Expected Assist Goals (xAG)_Mean,Expected Assist Goals (xAG)_Std,Progressive Carries (PrgC)_Mean,Progressive Carries (PrgC)_Std,Progressive Passes (PrgP)_Mean,Progressive Passes (PrgP)_Std,Progressive Passes Received (PrgR)_Mean,Progressive Passes Received (PrgR)_Std,Goals per 90_Mean,Goals per 90_Std,Assists per 90_Mean,Assists per 90_Std,xG per 90_Mean,xG per 90_Std,xAG per 90_Mean,xAG per 90_Std,Shots on Target Percentage (SoT%)_Mean,Shots on Target Percentage (SoT%)_Std,Shots on Target per 90 (SoT/90)_Mean,Shots on Target per 90 (SoT/90)_Std,Goals per Shot (G/Sh)_Mean,Goals per Shot (G/Sh)_Std,Average Shot Distance (Dist)_Mean,Average Shot Distance (Dist)_Std,Passes Completed (Cmp)_Mean,Passes Completed (Cmp)_Std,Pass Completion Percentage (Cmp%)_Mean,Pass Completion Percentage (Cmp%)_Std,Total Passing Distance (TotDist)_Mean,Total Passing Distance (TotDist)_Std,Short Pass Completion Percentage_Mean,Short Pass Completion Percentage_Std,Medium Pass Completion Percentage_Mean,Medium Pass Completion Percentage_Std,Long Pass Completion Percentage_Mean,Long Pass Completion Percentage_Std,Key Passes (KP)_Mean,Key Passes (KP)_Std,Passes into Final Third (1/3)_Mean,Passes into Final Third (1/3)_Std,Passes into Penalty Area (PPA)_Mean,Passes into Penalty Area (PPA)_Std,Crosses into Penalty Area (CrsPA)_Mean,Crosses into Penalty Area (CrsPA)_Std,Shot-Creating Actions (SCA)_Mean,Shot-Creating Actions (SCA)_Std,SCA per 90_Mean,SCA per 90_Std,Goal-Creating Actions (GCA)_Mean,Goal-Creating Actions (GCA)_Std,GCA per 90_Mean,GCA per 90_Std,Tackles (Tkl)_Mean,Tackles (Tkl)_Std,Tackles Won (TklW)_Mean,Tackles Won (TklW)_Std,Challenges (Tkl)_Mean,Challenges (Tkl)_Std,Challenges Lost (TklD)_Mean,Challenges Lost (TklD)_Std,Blocks_Mean,Blocks_Std,Blocked Shots (Sh)_Mean,Blocked Shots (Sh)_Std,Blocked Passes (Pass)_Mean,Blocked Passes (Pass)_Std,Interceptions (Int)_Mean,Interceptions (Int)_Std,Touches_Mean,Touches_Std,Touches in Defensive Penalty Area_Mean,Touches in Defensive Penalty Area_Std,Touches in Defensive Third_Mean,Touches in Defensive Third_Std,Touches in Middle Third_Mean,Touches in Middle Third_Std,Touches in Attacking Third_Mean,Touches in Attacking Third_Std,Touches in Attacking Penalty Area_Mean,Touches in Attacking Penalty Area_Std,Take-Ons (Att)_Mean,Take-Ons (Att)_Std,Take-On Success Percentage (Succ%)_Mean,Take-On Success Percentage (Succ%)_Std,Take-On Tackled Percentage (Tkl%)_Mean,Take-On Tackled Percentage (Tkl%)_Std,Carries_Mean,Carries_Std,Progressive Carrying Distance (TotDist)_Mean,Progressive Carrying Distance (TotDist)_Std,Carries into Final Third (1/3)_Mean,Carries into Final Third (1/3)_Std,Carries into Penalty Area (CPA)_Mean,Carries into Penalty Area (CPA)_Std,Miscontrols (Mis)_Mean,Miscontrols (Mis)_Std,Dispossessed (Dis)_Mean,Dispossessed (Dis)_Std,Passes Received (Rec)_Mean,Passes Received (Rec)_Std,Fouls Committed (Fls)_Mean,Fouls Committed (Fls)_Std,Fouls Drawn (Fld)_Mean,Fouls Drawn (Fld)_Std,Offsides (Off)_Mean,Offsides (Off)_Std,Crosses (Crs)_Mean,Crosses (Crs)_Std,Ball Recoveries (Recov)_Mean,Ball Recoveries (Recov)_Std,Aerials Won (Won)_Mean,Aerials Won (Won)_Std,Aerials Lost (Lost)_Mean,Aerials Lost (Lost)_Std,Aerials Won Percentage (Won%)_Mean,Aerials Won Percentage (Won%)_Std
Arsenal,26.50,23.50,16.50,2.00,1.50,2.50,0.00,1.65,0.90,23.00,56.50,52.00,0.11,0.11,0.10,0.09,30.90,0.22,0.14,15.00,468.50,82.95,7398.00,91.75,86.30,53.35,10.00,40.50,9.00,1.50,25.00,2.24,3.00,0.24,19.50,12.00,21.00,11.00,10.00,1.50,7.50,6.00,771.50,25.00,125.00,296.00,225.00,38.50,23.50,44.65,36.40,427.00,1358.00,19.50,4.50,15.50,13.50,552.00,14.00,17.00,2.00,11.00,49.50,10.50,15.50,51.15,25.95,3.82,23.27,8.07,17.50,10.40,2.82,2.81,2.32,2.75,2.91,1.97,0.23,0.53,2.56,2.64,1.93,2.19,35.32,32.70,77.00,62.44,75.95,77.49,0.16,0.16,0.14,0.15,0.15,0.14,0.12,0.12,27.86,16.68,0.41,0.41,0.14,0.13,14.64,4.97,717.68,560.34,82.32,6.27,11757.95,9938.89,90.89,4.67,84.95,7.86,55.32,9.76,17.50,17.78,58.09,52.92,18.27,18.49,3.00,3.63,39.86,34.14,2.45,1.40,5.00,5.60,0.29,0.30,24.64,20.73,14.68,12.64,21.36,14.86,10.64,7.58,13.68,11.17,4.41,6.84,9.27,7.89,9.64,8.87,1008.95,673.68,75.82,170.01,254.45,337.03,439.00,390.89,323.09,237.02,53.77,50.36,30.59,29.15,49.27,22.44,37.40,18.06,593.27,410.16,1677.64,1143.70,21.95,18.37,12.14,15.46,20.14,15.94,15.86,13.52,710.86,492.20,16.95,11.27,17.05,12.40,3.55,3.69,32.18,42.69,59.68,41.37,19.91,19.79,19.36,17.65,47.83,19.01
Aston Villa,27.00,20.50,9.50,1.00,0.00,2.00,0.00,0.80,0.45,16.50,34.00,21.00,0.04,0.00,0.08,0.05,27.80,0.20,0.06,16.70,402.50,81.95,5738.00,91.45,86.45,53.90,6.50,23.50,7.50,0.00,20.00,1.82,2.00,0.18,10.50,6.00,10.50,5.50,10.00,2.50,5.50,5.00,655.00,30.00,133.00,244.00,117.50,20.50,17.00,47.40,40.00,397.00,1086.50,12.50,2.00,9.00,8.00,483.50,8.50,9.00,1.00,4.50,37.50,8.00,9.50,50.00,26.71,4.05,19.43,10.33,13.75,11.66,1.89,3.29,1.50,2.40,2.43,2.25,0.07,0.26,1.95,2.97,1.43,2.01,23.79,23.66,44.18,48.20,43.75,52.00,0.17,0.28,0.09,0.11,0.19,0.25,0.09,0.10,29.02,21.70,0.46,0.68,0.07,0.08,16.89,4.49,491.00,427.64,81.24,7.19,8421.57,7968.75,90.07,5.50,86.44,7.73,54.49,15.36,12.11,14.94,38.00,46.91,10.50,12.67,1.86,3.70,28.64,29.93,2.11,1.38,3.43,3.88,0.23,0.21,21.39,20.55,12.32,12.52,18.21,19.03,7.96,8.23,10.86,9.15,3.61,4.31,7.25,6.37,8.07,8.38,721.46,574.60,86.96,191.62,242.96,300.24,308.71,300.82,176.96,169.99,31.54,37.60,24.29,30.10,50.06,24.83,38.90,22.87,408.29,318.51,1180.82,939.99,14.75,13.11,7.18,10.58,16.79,21.64,12.89,15.32,482.04,387.34,13.54,13.55,16.39,17.85,1.82,2.87,19.96,34.24,46.75,36.90,12.43,12.18,13.86,13.90,40.37,23.99
Bournemouth,26.00,26.00,17.00,1.00,1.00,3.00,0.00,1.10,1.10,19.00,43.00,31.00,0.03,0.04,0.08,0.10,29.70,0.15,0.06,16.45,436.00,74.30,7088.00,88.00,78.30,47.80,11.00,37.00,7.00,2.00,28.00,2.35,2.00,0.21,21.00,10.00,25.00,13.00,16.00,3.00,8.00,10.00,783.00,44.00,159.00,316.00,133.00,19.00,16.00,41.15,45.10,483.00,1183.00,17.00,1.00,18.00,8.00,435.00,16.00,10.00,0.00,10.00,59.00,20.00,22.00,47.00,25.96,3.82,22.22,10.18,16.70,11.63,2.35,3.59,1.70,2.05,3.87,3.08,0.09,0.29,2.68,3.58,1.81,1.87,29.87,34.65,58.48,52.05,57.65,71.61,0.14,0.18,0.10,0.11,0.18,0.20,0.13,0.15,25.02,16.67,0.54,0.65,0.06,0.06,15.81,4.38,504.78,408.76,73.93,6.58,9147.96,7897.39,86.84,7.09,81.62,10.80,46.66,17.89,17.78,16.56,48.22,47.73,13.22,13.87,4.04,5.53,40.78,36.35,2.57,1.87,3.96,4.19,0.23,0.21,27.96,23.43,16.13,14.51,25.61,21.31,13.57,10.71,18.83,16.69,5.74,7.26,13.09,12.64,14.39,15.62,852.48,626.55,90.26,153.47,257.30,280.45,365.96,322.88,239.74,238.20,39.52,48.08,27.09,32.49,43.23,19.23,42.83,19.17,458.35,342.50,1442.09,1300.40,21.09,20.43,9.09,16.03,23.52,21.61,14.09,17.22,499.70,370.48,20.52,17.98,15.61,13.89,2.74,5.07,32.96,41.37,73.22,57.25,23.17,21.30,24.61,20.98,50.18,18.40
Brentford,24.00,28.00,21.00,0.00,2.00,2.00,0.00,0.80,1.20,12.00,52.00,27.00,0.00,0.09,0.06,0.08,34.80,0.17,0.05,15.30,489.00,77.30,7626.00,87.70,79.90,55.00,9.00,42.00,7.00,2.00,21.00,1.72,2.00,0.20,25.00,17.00,26.00,11.00,17.00,4.00,13.00,8.00,804.00,52.00,232.00,348.00,160.00,24.00,13.00,46.50,42.10,410.00,1204.00,11.00,1.00,14.00,8.00,497.00,12.00,10.00,1.00,14.00,50.00,12.00,14.00,55.50,25.67,3.86,23.52,11.38,18.33,13.30,2.90,5.54,1.95,2.44,2.52,1.89,0.05,0.22,2.61,4.20,1.90,2.23,25.86,32.38,58.29,54.49,57.57,77.18,0.12,0.19,0.10,0.10,0.12,0.16,0.10,0.09,30.89,17.80,0.32,0.38,0.08,0.09,15.93,4.31,582.24,445.79,76.69,7.84,10679.14,9438.23,86.80,7.67,82.29,9.73,54.84,13.49,14.52,17.54,48.10,40.92,14.00,18.70,3.90,5.27,34.10,35.69,1.87,1.16,5.00,5.82,0.28,0.27,27.52,22.23,16.52,12.89,25.48,20.60,11.86,10.52,21.19,19.31,8.71,12.94,12.48,10.39,12.76,12.30,937.05,669.69,145.57,290.91,366.48,421.08,349.05,279.64,230.05,234.92,43.00,47.19,27.33,33.91,48.76,19.88,42.09,16.48,493.67,361.55,1371.57,1143.64,15.95,18.82,9.19,17.53,23.29,26.45,12.57,13.54,573.52,410.87,13.33,10.82,15.05,14.58,2.95,4.48,29.52,45.99,71.00,55.45,27.52,31.92,23.95,23.96,54.89,19.61
Brighton,24.00,21.00,10.00,1.00,1.00,2.00,0.00,0.75,1.00,18.50,40.00,27.00,0.04,0.04,0.09,0.08,29.30,0.30,0.06,16.50,343.00,80.55,4862.00,90.30,82.10,52.55,9.50,23.00,7.50,1.00,24.00,2.81,3.00,0.29,16.50,10.00,18.00,9.00,12.00,2.00,9.50,8.50,644.50,23.50,121.50,229.00,149.00,17.00,12.50,43.80,46.20,377.00,1092.00,16.00,3.00,10.50,7.00,417.00,11.00,8.00,1.00,10.00,40.50,12.00,11.00,53.80,25.54,5.18,19.54,10.04,13.75,10.13,1.96,3.00,1.32,1.61,2.68,2.60,0.11,0.31,1.91,2.64,1.32,1.40,26.36,30.01,49.79,50.21,49.46,62.59,0.12,0.15,0.09,0.13,0.13,0.12,0.10,0.08,30.57,21.94,0.45,0.65,0.08,0.09,17.46,3.82,517.21,488.98,79.33,8.16,8798.57,9292.46,89.53,6.11,81.26,10.62,54.05,15.59,11.89,10.06,38.64,48.63,10.93,10.51,2.86,3.82,29.96,23.64,2.47,1.22,3.54,3.01,0.30,0.28,22.64,19.76,13.82,12.09,22.86,18.71,11.71,9.16,14.43,12.26,4.00,5.45,10.43,9.95,10.36,9.95,775.75,627.33,85.68,197.22,247.39,328.13,337.50,329.74,199.46,179.51,34.57,42.03,26.68,31.83,45.53,21.20,46.42,20.50,455.50,391.57,1366.39,1430.19,18.57,18.62,8.50,15.00,18.89,19.16,11.50,12.37,511.25,430.07,14.61,12.46,13.68,14.56,1.46,1.84,22.54,27.84,53.07,44.25,17.25,18.54,15.68,14.82,50.06,20.09
Chelsea,24.00,18.00,11.50,1.00,1.00,2.50,0.00,0.75,1.05,11.00,34.50,11.50,0.05,0.06,0.08,0.10,33.30,0.28,0.07,15.00,521.00,84.75,7782.00,91.90,90.70,57.50,6.50,27.50,4.00,0.00,15.00,1.72,2.50,0.23,11.00,8.50,11.50,5.50,9.00,1.50,5.50,7.50,744.50,20.00,126.50,267.50,92.50,12.00,13.00,45.05,40.00,405.50,1016.00,9.50,1.00,6.00,5.50,523.00,8.00,10.50,1.00,3.00,38.00,9.50,8.50,42.10,23.81,2.32,19.69,11.26,14.81,11.79,2.27,3.65,1.73,2.25,3.69,3.20,0.04,0.20,2.57,4.21,1.97,2.48,31.19,41.10,57.54,63.00,56.81,76.26,0.15,0.20,0.13,0.18,0.16,0.18,0.15,0.17,29.88,21.68,0.45,0.49,0.09,0.12,15.07,4.56,648.73,587.29,84.06,6.44,11225.00,10550.48,91.07,5.70,88.54,7.30,57.15,17.98,16.81,21.85,53.88,58.51,12.81,17.12,2.73,5.49,38.96,47.75,2.32,1.68,4.08,4.71,0.25,0.24,20.73,23.88,13.00,14.77,19.38,22.60,9.69,12.11,12.65,13.84,3.73,5.63,8.92,10.07,9.92,11.47,902.23,767.08,85.00,179.56,271.62,334.70,407.04,412.56,231.27,258.92,40.85,52.01,27.77,34.05,45.99,20.57,39.60,22.11,522.62,421.21,1491.15,1199.77,17.42,19.23,11.58,21.69,16.35,19.89,10.77,12.05,643.42,538.66,15.46,16.15,15.88,16.91,2.35,4.63,23.69,40.60,55.92,51.40,14.27,16.58,13.85,14.69,46.87,26.27
Crystal Palace,27.00,30.00,19.00,0.00,1.00,2.00,0.00,1.10,1.50,11.00,47.00,11.00,0.00,0.03,0.08,0.11,31.60,0.34,0.00,17.70,541.00,75.60,8735.00,84.50,81.10,46.70,9.00,27.00,4.00,1.00,27.00,2.00,3.00,0.15,21.00,14.00,23.00,15.00,19.00,3.00,13.00,11.00,871.00,30.00,181.00,377.00,146.00,18.00,12.00,40.00,45.55,430.00,1004.00,10.00,1.00,16.00,13.00,533.00,12.00,19.00,1.00,11.00,64.00,17.00,19.00,43.60,26.67,3.26,24.05,10.63,18.24,12.87,1.90,3.40,1.52,2.09,3.62,3.37,0.19,0.40,2.55,3.46,1.91,2.13,21.71,22.71,50.14,39.50,49.62,64.76,0.09,0.13,0.06,0.08,0.14,0.14,0.10,0.07,29.24,17.72,0.49,0.46,0.06,0.08,18.12,5.71,519.19,395.32,74.08,6.96,9320.05,7646.46,84.29,6.46,79.82,10.53,49.96,18.59,16.14,16.23,38.71,32.31,11.95,12.75,3.05,4.38,37.67,35.42,2.21,1.50,3.62,3.43,0.17,0.17,33.14,29.94,19.62,18.89,28.33,22.05,14.14,9.91,21.05,18.02,6.14,6.91,14.90,12.89,14.24,14.48,888.33,626.87,110.67,217.52,330.52,366.74,369.24,273.54,197.10,188.13,34.43,36.31,21.29,29.93,41.88,23.66,47.97,26.27,444.76,315.46,1094.48,800.98,15.38,14.12,5.24,7.51,21.67,21.05,14.67,14.37,514.43,354.96,18.05,16.20,17.95,15.87,3.19,4.92,26.90,32.74,72.90,54.04,22.38,22.37,28.19,25.86,41.11,18.51
Everton,26.00,24.00,15.00,1.00,1.00,3.00,0.00,1.10,1.05,12.00,40.00,24.00,0.04,0.04,0.05,0.06,35.70,0.24,0.05,17.30,428.50,74.15,7396.50,86.45,83.20,58.30,9.50,36.50,8.00,2.00,25.50,1.76,2.00,0.11,26.00,14.50,23.50,8.50,13.00,3.00,7.50,9.50,746.50,31.00,170.00,301.50,180.50,19.00,18.00,47.20,45.00,377.50,761.50,11.50,2.00,12.50,11.50,439.50,15.00,14.00,1.00,8.50,56.00,11.50,15.00,50.60,27.50,5.05,22.41,9.29,17.45,10.65,1.50,2.13,1.00,1.11,3.41,2.17,0.09,0.29,1.70,2.02,1.30,1.11,20.32,20.50,43.50,35.40,42.55,40.94,0.09,0.13,0.08,0.10,0.11,0.12,0.08,0.07,32.55,23.16,0.36,0.38,0.08,0.11,17.27,5.33,473.50,339.26,74.58,7.90,8940.73,7796.05,85.34,7.52,80.30,12.05,57.47,14.99,12.32,9.79,41.86,34.96,10.86,10.21,3.82,5.36,29.41,19.35,1.88,1.08,2.55,2.09,0.18,0.17,30.86,28.24,18.05,17.06,27.32,22.49,13.23,11.36,16.36,14.33,5.86,9.39,10.50,8.58,13.86,13.05,808.64,510.67,101.50,217.83,288.77,360.48,327.73,235.53,200.77,144.59,30.09,26.03,27.05,29.93,46.89,18.29,45.35,18.55,396.36,246.81,1053.91,818.48,15.23,11.54,5.09,7.10,21.59,20.30,16.32,14.26,468.86,275.29,18.32,13.57,15.64,12.60,3.50,6.31,28.73,36.72,63.45,47.04,25.45,29.29,23.50,23.65,48.35,19.11
Fulham,28.00,27.00,17.50,0.50,1.00,2.50,0.00,1.05,1.00,22.00,53.00,39.00,0.02,0.08,0.08,0.08,29.70,0.26,0.05,15.40,652.00,81.65,11199.00,90.50,85.25,58.20,10.00,44.50,8.00,2.50,30.50,2.20,3.00,0.18,23.50,12.00,19.00,8.50,14.00,2.00,11.00,8.50,976.00,26.50,155.50,388.50,209.00,32.00,18.50,43.60,41.70,533.50,1222.50,18.00,4.50,14.50,8.00,632.50,15.50,15.50,1.00,15.00,61.00,15.00,19.00,47.20,28.41,3.40,24.50,9.33,17.45,11.50,2.23,3.26,1.91,2.56,3.41,2.99,0.09,0.29,2.12,2.68,1.63,1.88,32.82,36.19,65.32,49.52,64.18,71.84,0.16,0.24,0.10,0.12,0.15,0.15,0.10,0.08,29.25,18.72,0.52,0.57,0.07,0.09,16.34,4.27,678.55,508.42,80.42,7.95,12124.05,9949.95,88.66,6.54,84.38,9.08,59.16,12.97,16.45,16.95,56.50,48.66,13.86,18.90,4.50,7.21,38.64,31.63,2.54,1.74,4.14,4.27,0.23,0.20,28.27,23.01,17.23,14.42,23.73,20.60,11.64,11.24,15.45,11.21,4.59,6.30,10.86,8.05,12.73,13.72,1000.64,689.42,109.05,236.86,334.95,397.40,412.14,324.88,264.14,227.08,39.05,38.12,26.82,27.09,43.44,18.90,37.47,15.19,590.05,418.94,1603.36,1309.07,23.27,23.41,9.23,11.16,21.23,18.30,11.55,11.68,671.68,460.80,17.95,14.30,14.95,11.00,1.86,3.21,37.91,51.35,67.73,44.74,22.32,23.04,22.27,21.17,45.91,21.27
Ipswich Town,26.00,18.50,11.50,0.00,0.00,2.00,0.00,0.60,0.40,9.00,20.00,14.50,0.00,0.00,0.04,0.03,22.85,0.08,0.08,16.20,226.00,75.70,4256.50,87.00,84.40,50.00,4.50,18.00,4.00,0.00,13.00,1.40,1.00,0.11,12.50,8.00,12.00,6.50,8.00,2.00,6.50,6.50,438.50,28.00,127.50,163.00,102.50,11.50,8.00,45.40,43.35,224.00,597.50,6.50,1.50,11.00,5.00,255.00,8.50,9.00,0.50,6.50,39.50,7.00,14.50,50.00,26.50,3.10,18.20,9.01,12.83,9.68,1.13,2.32,0.83,1.09,2.97,2.65,0.17,0.38,1.07,1.76,0.71,0.97,15.07,18.27,27.67,25.77,27.23,35.37,0.09,0.15,0.07,0.10,0.09,0.11,0.06,0.06,28.75,24.50,0.30,0.40,0.07,0.08,16.57,5.29,347.07,310.19,75.11,8.14,6204.00,5602.86,87.14,7.35,81.59,10.94,48.52,13.25,8.27,11.08,26.27,28.85,4.90,5.98,1.50,2.84,19.17,21.09,1.52,1.23,1.87,2.08,0.14,0.16,18.40,16.58,10.50,9.48,18.73,16.79,9.80,9.44,13.43,13.96,5.77,9.63,7.67,7.56,9.67,9.44,580.07,467.21,93.57,133.99,238.90,253.52,228.17,214.51,119.47,122.43,17.77,21.38,19.00,27.01,44.30,11.71,45.25,8.99,285.93,222.54,780.40,623.81,9.97,11.07,4.43,7.65,16.73,21.01,10.63,14.38,343.70,282.96,13.40,14.76,12.27,11.78,1.50,2.78,15.13,28.76,44.30,35.81,16.83,22.69,16.77,18.19,52.14,26.47
Leicester City,26.00,21.50,15.00,0.00,0.00,2.00,0.00,0.40,0.40,15.00,30.50,20.00,0.00,0.00,0.04,0.02,32.90,0.22,0.00,16.90,424.00,77.70,6483.00,89.05,83.00,53.20,6.50,24.50,5.50,1.00,15.50,1.32,1.00,0.11,21.50,12.00,18.50,10.00,16.50,4.00,9.00,9.50,756.00,34.00,149.00,325.50,104.00,15.50,11.50,41.30,48.55,445.00,1080.50,8.00,2.50,13.00,9.00,478.50,13.50,12.00,1.00,9.50,42.00,12.00,15.50,50.00,26.69,4.51,20.23,9.72,14.81,9.97,1.12,2.01,0.85,1.19,3.12,2.64,0.00,0.00,1.18,2.17,0.92,1.14,21.04,22.98,38.85,34.96,38.27,40.64,0.06,0.10,0.06,0.09,0.07,0.09,0.07,0.08,34.24,22.96,0.28,0.27,0.06,0.07,17.81,5.81,499.69,371.71,78.11,8.39,8378.46,6446.12,88.78,6.98,84.39,9.07,55.06,17.75,9.04,9.33,34.81,31.72,7.69,8.45,2.46,4.01,20.88,18.82,1.36,0.98,1.92,2.37,0.12,0.14,25.85,22.30,15.08,13.53,24.65,21.71,12.81,11.87,17.73,14.00,6.77,8.20,10.96,8.66,11.77,11.91,776.42,523.42,101.46,167.52,284.08,284.71,353.62,278.41,146.15,134.96,22.42,24.63,22.88,27.06,43.56,28.18,48.30,25.45,440.88,286.61,1097.04,748.80,13.19,12.44,5.04,6.28,17.27,15.76,11.62,13.05,495.27,329.85,14.46,10.88,13.46,11.90,2.27,4.91,22.62,27.97,53.00,37.73,17.92,16.97,20.04,17.86,49.21,19.75
